index,movie_name,year_of_release,category,run_time,variety,imdb_rating,votes,gross_total
68,Life of Pi,-2012,PG,127 min,"Adventure, Drama, Fantasy",7.9,"6,34,357",$124.99M
69,Slumdog Millionaire,-2008,R,120 min,"Crime, Drama, Romance",8,"8,48,344",$141.32M
70,Vertigo,-1958,PG,128 min,"Mystery, Romance, Thriller",8.3,"4,04,626",$3.20M
71,Trainspotting,-1996,R,93 min,Drama,8.1,"6,90,138",$16.50M
72,Interstellar,-2014,PG-13,169 min,"Adventure, Drama, Sci-Fi",8.6,"18,35,790",$188.02M
73,The Thing,-1982,R,109 min,"Horror, Mystery, Sci-Fi",8.2,"4,28,474",$13.78M
74,The Third Man,-1949,Approved,93 min,"Film-Noir, Mystery, Thriller",8.1,"1,73,206",$0.45M
75,12 Monkeys,-1995,R,129 min,"Mystery, Sci-Fi, Thriller",8,"6,21,205",$57.14M
76,Life Is Beautiful,-1997,PG-13,116 min,"Comedy, Drama, Romance",8.6,"6,97,226",$57.60M
77,The Pianist,-2002,R,150 min,"Biography, Drama, Music",8.5,"8,34,842",$32.57M
78,Magnolia,-1999,R,188 min,Drama,8,"3,15,037",$22.46M
79,The Dark Knight Rises,-2012,PG-13,164 min,"Action, Drama",8.4,"17,08,002",$448.14M
80,Star Wars: Episode VII - The Force Awakens,-2015,PG-13,138 min,"Action, Adventure, Sci-Fi",7.8,"9,33,771",$936.66M
81,The Hobbit: The Desolation of Smaug,-2013,PG-13,161 min,"Adventure, Fantasy",7.8,"6,67,864",$258.37M
82,Mad Max: Fury Road,-2015,R,120 min,"Action, Adventure, Sci-Fi",8.1,"10,06,158",$154.06M
83,12 Years a Slave,-2013,R,134 min,"Biography, Drama, History",8.1,"7,03,824",$56.67M
84,Indiana Jones and the Last Crusade,-1989,PG-13,127 min,"Action, Adventure",8.2,"7,58,057",$197.17M
85,"O Brother, Where Art Thou?",-2000,PG-13,107 min,"Adventure, Comedy, Crime",7.7,"3,15,173",$45.51M
86,Inglourious Basterds,-2009,R,153 min,"Adventure, Drama, War",8.3,"14,53,288",$120.54M
87,The Departed,-2006,R,151 min,"Crime, Drama, Thriller",8.5,"13,28,252",$132.38M
88,A Beautiful Mind,-2001,PG-13,135 min,"Biography, Drama",8.2,"9,35,549",$170.74M
89,District 9,-2009,R,112 min,"Action, Sci-Fi, Thriller",7.9,"6,85,403",$115.65M
90,The Piano,-1993,R,121 min,"Drama, Music, Romance",7.5,"89,819",$40.16M
91,Mystic River,-2003,R,138 min,"Crime, Drama, Mystery",7.9,"4,59,918",$90.14M
92,The Insider,-1999,R,157 min,"Biography, Drama, Thriller",7.8,"1,72,759",$28.97M
93,L.A. Confidential,-1997,R,138 min,"Crime, Drama, Mystery",8.2,"5,85,555",$64.62M
94,Heat,-1995,R,170 min,"Action, Crime, Drama",8.3,"6,58,033",$67.44M
95,The Usual Suspects,-1995,R,106 min,"Crime, Drama, Mystery",8.5,"10,87,832",$23.34M
96,Cool Hand Luke,-1967,GP,127 min,"Crime, Drama",8.1,"1,78,888",$16.22M
97,Eternal Sunshine of the Spotless Mind,-2004,R,108 min,"Drama, Romance, Sci-Fi",8.3,"10,11,004",$34.40M
98,City Lights,-1931,G,87 min,"Comedy, Drama, Romance",8.5,"1,86,059",$0.02M
99,The Matrix,-1999,R,136 min,"Action, Sci-Fi",8.7,"19,16,083",$171.48M
